"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Serbia","Serbia",0,"2016-12-01","2016-12-31",31,2016,12,6926705,9968,0,"TBC"
"Serbia","Serbia",0,"2017-01-01","2017-01-31",31,2017,1,6926705,13385,0,"TBC"
"Serbia","Serbia",0,"2017-02-01","2017-02-28",28,2017,2,6926705,9001,0,"TBC"
"Serbia","Serbia",0,"2017-03-01","2017-03-31",31,2017,3,6926705,8731,0,"TBC"
"Serbia","Serbia",0,"2017-04-01","2017-04-30",30,2017,4,6926705,8455,0,"TBC"
"Serbia","Serbia",0,"2017-05-01","2017-05-31",31,2017,5,6926705,8294,0,"TBC"
"Serbia","Serbia",0,"2017-06-01","2017-06-30",30,2017,6,6926705,7861,0,"TBC"
"Serbia","Serbia",0,"2017-07-01","2017-07-31",31,2017,7,6926705,7669,0,"TBC"
"Serbia","Serbia",0,"2017-08-01","2017-08-31",31,2017,8,6926705,7986,0,"TBC"
"Serbia","Serbia",0,"2017-09-01","2017-09-30",30,2017,9,6926705,7204,0,"TBC"
"Serbia","Serbia",0,"2017-10-01","2017-10-31",31,2017,10,6926705,8456,0,"TBC"
"Serbia","Serbia",0,"2017-11-01","2017-11-30",30,2017,11,6926705,8026,0,"TBC"
"Serbia","Serbia",0,"2017-12-01","2017-12-31",31,2017,12,6926705,8654,0,"TBC"
"Serbia","Serbia",0,"2018-01-01","2018-01-31",31,2018,1,6926705,9296,0,"TBC"
"Serbia","Serbia",0,"2018-02-01","2018-02-28",28,2018,2,6926705,9771,0,"TBC"
"Serbia","Serbia",0,"2018-03-01","2018-03-31",31,2018,3,6926705,9824,0,"TBC"
"Serbia","Serbia",0,"2018-04-01","2018-04-30",30,2018,4,6926705,8203,0,"TBC"
"Serbia","Serbia",0,"2018-05-01","2018-05-31",31,2018,5,6926705,7778,0,"TBC"
"Serbia","Serbia",0,"2018-06-01","2018-06-30",30,2018,6,6926705,7403,0,"TBC"
"Serbia","Serbia",0,"2018-07-01","2018-07-31",31,2018,7,6926705,7877,0,"TBC"
"Serbia","Serbia",0,"2018-08-01","2018-08-31",31,2018,8,6926705,7920,0,"TBC"
"Serbia","Serbia",0,"2018-09-01","2018-09-30",30,2018,9,6926705,7620,0,"TBC"
"Serbia","Serbia",0,"2018-10-01","2018-10-31",31,2018,10,6926705,8702,0,"TBC"
"Serbia","Serbia",0,"2018-11-01","2018-11-30",30,2018,11,6926705,8288,0,"TBC"
"Serbia","Serbia",0,"2018-12-01","2018-12-31",31,2018,12,6926705,8973,0,"TBC"
"Serbia","Serbia",0,"2019-01-01","2019-01-31",31,2019,1,6926705,8672,0,"TBC"
"Serbia","Serbia",0,"2019-02-01","2019-02-28",28,2019,2,6926705,9793,0,"TBC"
"Serbia","Serbia",0,"2019-03-01","2019-03-31",31,2019,3,6926705,8933,0,"TBC"
"Serbia","Serbia",0,"2019-04-01","2019-04-30",30,2019,4,6926705,8256,0,"TBC"
"Serbia","Serbia",0,"2019-05-01","2019-05-31",31,2019,5,6926705,8950,0,"TBC"
"Serbia","Serbia",0,"2019-06-01","2019-06-30",30,2019,6,6926705,7705,0,"TBC"
"Serbia","Serbia",0,"2019-07-01","2019-07-31",31,2019,7,6926705,8322,0,"TBC"
"Serbia","Serbia",0,"2019-08-01","2019-08-31",31,2019,8,6926705,7620,0,"TBC"
"Serbia","Serbia",0,"2019-09-01","2019-09-30",30,2019,9,6926705,7476,0,"TBC"
"Serbia","Serbia",0,"2019-10-01","2019-10-31",31,2019,10,6926705,8441,0,"TBC"
"Serbia","Serbia",0,"2019-11-01","2019-11-30",30,2019,11,6926705,7992,0,"TBC"
"Serbia","Serbia",0,"2019-12-01","2019-12-31",31,2019,12,6926705,9971,0,"TBC"
"Serbia","Serbia",0,"2020-01-01","2020-01-31",31,2020,1,6926705,8706,0,"TBC"
"Serbia","Serbia",0,"2020-02-01","2020-02-29",29,2020,2,6926705,9122,0,"TBC"
"Serbia","Serbia",0,"2020-03-01","2020-03-31",31,2020,3,6926705,8189,16,"TBC"
"Serbia","Serbia",0,"2020-04-01","2020-04-30",30,2020,4,6926705,8625,163,"TBC"
"Serbia","Serbia",0,"2020-05-01","2020-05-31",31,2020,5,6926705,8602,64,"TBC"
"Serbia","Serbia",0,"2020-06-01","2020-06-30",30,2020,6,6926705,8325,34,"TBC"
"Serbia","Serbia",0,"2020-07-01","2020-07-31",31,2020,7,6926705,10023,296,"TBC"
"Serbia","Serbia",0,"2020-08-01","2020-08-31",31,2020,8,6926705,8730,140,"TBC"
"Serbia","Serbia",0,"2020-09-01","2020-09-30",30,2020,9,6926705,8123,36,"TBC"
"Serbia","Serbia",0,"2020-10-01","2020-10-31",31,2020,10,6926705,8353,71,"TBC"
"Serbia","Serbia",0,"2020-11-01","2020-11-30",30,2020,11,6926705,10835,784,"TBC"
"Serbia","Serbia",0,"2020-12-01","2020-12-31",31,2020,12,6926705,17321,1607,"TBC"
"Serbia","Serbia",0,"2021-01-01","2021-01-31",31,2021,1,6926705,10417,809,"TBC"
"Serbia","Serbia",0,"2021-02-01","2021-02-28",28,2021,2,6926705,10166,423,"TBC"
"Serbia","Serbia",0,"2021-03-01","2021-03-31",31,2021,3,6926705,12952,865,"TBC"
